num_threads	collect_mesh	collect_wavelet	remap	data_to_device	data_to_host	deep_copy	kernel	mesh_sync	mirror	update_particles_mesh	overall
1	0.222665	0.334337	31.808900	0.014092	3.642650	0.002929	0.034786	0.000001	0.002654	9.307640	52.257400
2	0.153898	0.214253	22.432000	0.014743	3.565120	0.003111	0.021394	0.000001	0.002641	5.081150	36.301600
4	0.124638	0.183474	18.848400	0.014879	3.693500	0.003161	0.014994	0.000002	0.002735	2.988040	29.660600
8	0.118443	0.177888	18.270100	0.015700	3.651930	0.003405	0.012530	0.000002	0.002817	2.681560	28.261800
16	0.113534	0.169987	18.520400	0.015754	3.530880	0.003429	0.009236	0.000002	0.002824	2.691980	28.073600
32	0.113691	0.170375	16.297900	0.019255	3.558710	0.004424	0.013155	0.000002	0.003399	2.790940	26.598300
36	0.113619	0.170973	16.288300	0.019454	3.471650	0.004493	0.013245	0.000002	0.003461	2.708020	26.392700
