# field_1, field_2, field_3
60921220576.6, 0, 0
60677012485.7, 0, 0
60381155689.3, 0, 0
60085162680.3, 0, 0
59789034110.4, 0, 0
59492770631.7, 0, 0
59196372897, 0, 0
58899841559.5, 0, 0
58603177273.3, 0, 0
58306380693.1, 0, 0
58009452474.1, 0, 0
57712393272.5, 0, 0
57415203744.6, 0, 0
57117884547.8, 0, 0
56820436339.8, 0, 0
56522859779.3, 0, 0
56225155525.1, 0, 0
55927324237.2, 0, 0
55629366575.7, 0, 0
55331283201.6, 0, 0
55033074776.5, 0, 0
54734741962.4, 0, 0
54436285422, 0, 0
54137705818.8, 0, 0
53839003816.5, 0, 0
53540180079.6, 0, 0
53241235273.2, 0, 0
113128852946, 0, 0
112869496483, 0, 0
112600330774, 0, 0
112276058939, 0, 0
51744718515.1, 0, 0
51445061289.4, 0, 0
51145287665.4, 0, 0
50845398312.4, 0, 0
50545393900.7, 0, 0
50245275100.7, 0, 0
49945042583.6, 0, 0
49644697021, 0, 0
49344239085.1, 0, 0
49043669448.5, 0, 0
48742988784.5, 0, 0
48442197766.6, 0, 0
48141297069.2, 0, 0
47840287367, 0, 0
47539169335, 0, 0
47237943649.1, 0, 0
46936610985.3, 0, 0
46635172020.4, 0, 0
46333627431.4, 0, 0
46031977896, 0, 0
45730224092.2, 0, 0
45428366698.5, 0, 0
45126406394.1, 0, 0
44824343858.2, 0, 0
44522179770.9, 0, 0
44219914812.4, 0, 0
43917549663.6, 0, 0
43615085005.6, 0, 0
43312521520.2, 0, 0
43009859889.5, 0, 0
42707100795.9, 0, 0
42404244922.4, 0, 0
42101292952.4, 0, 0
41798245569.6, 0, 0
41495103458.2, 0, 0
41191867302.7, 0, 0
40888537788.2, 0, 0
40585115599.9, 0, 0
40281601423.8, 0, 0
39977995945.8, 0, 0
39674299852.5, 0, 0
39370513830.9, 0, 0
39066638568.2, 0, 0
38762674751.9, 0, 0
38458623070.2, 0, 0
38154484211.4, 0, 0
37850258864.2, 0, 0
37545947717.5, 0, 0
37241551461, 0, 0
36937070784.2, 0, 0
36632506377.3, 0, 0
36327858930.7, 0, 0
36023129135.1, 0, 0
35718317681.6, 0, 0
35413425261.5, 0, 0
35108452566.6, 0, 0
34803400288.8, 0, 0
34498269120.5, 0, 0
34193059754.2, 0, 0
33887772882.8, 0, 0
33582409199.6, 0, 0
33276969398.1, 0, 0
32971454171.8, 0, 0
32665864215, 0, 0
32360200221.9, 0, 0
32054462887.1, 0, 0
31748652905.4, 0, 0
31442770972, 0, 0
31136817782.1, 0, 0
30830794031.4, 0, 0
30524700415.7, 0, 0
30218537631.2, 0, 0
